"","x"
"1",-7.76100554952233
"2",-0.836646965806083
"3",9.98754915488318
"4",14.0828786618048
"5",7.42013132133796
"6",-4.85106003249098
"7",-11.484475249127
"8",-2.21094129597434
"9",25.3550144973353
"10",63.1630919718987
"11",146.854941333587
"12",152.321111527832
"13",160.516537894471
"14",71.842191837742
"15",39.6488976610001
"16",19.0180560448008
"17",17.8107409947258
"18",32.6549842413937
"19",51.4320307649919
"20",60.5175934627559
"21",52.5509153242604
"22",30.2997323236912
"23",4.54449173554978
"24",-12.577917895438
"25",-16.6526508791467
"26",-4.89113696558646
"27",10.3534143927615
"28",16.4213578947481
"29",8.62161441498248
"30",-6.42112716302447
"31",-14.549155987987
"32",-2.87259073537466
"33",31.6214442818517
"34",78.8915001199592
"35",132.87556333371
"36",148.498069705398
"37",140.376723462967
"38",89.7668901049128
"39",49.5413337081238
"40",23.7629510176252
"41",22.254786310112
"42",40.8035696354939
"43",64.2664603973425
"44",75.6193499553974
"45",65.6646694478077
"46",37.8608432751341
"47",5.67853049940305
"48",-15.7166793685748
"49",-18.871518720921
"50",-5.90291612948358
"51",10.4447127141014
"52",17.0049122700015
"53",8.92143775074105
"54",-6.81292937527435
"55",-15.3139310367194
"56",-3.03770193697506
"57",33.1851987464864
"58",82.8164414033341
"59",129.387083265048
"60",147.544049773481
"61",135.350938979946
"62",94.2399040251821
"63",52.009938952384
"64",24.9470145341078
"65",23.3637743814705
"66",42.8370061468713
"67",67.4692246265365
"68",79.3879136453322
"69",68.9371376307703
"70",39.7476786377117
"71",5.96152389228641
"72",-16.4999407411883
"73",-22.2508151259161
"74",-14.7716144979323
"75",1.27821873186118
"76",13.0282547230317
"77",15.0916894827885
"78",9.63108021139525
"79",3.44348531275914
"80",-20.0350005361853
"81",12.7523673661516
"82",30.6114544265074
"83",53.8300394912839
"84",29.3278855456943
"85",89.7719582966327
"86",118.632187177347
"87",159.478001785801
"88",205.499743060926
"89",239.937916538232
"90",261.024169456482
"91",238.815309146629
"92",188.889722293078
"93",151.890042873341
"94",81.236338223603
"95",20.4994242744583
"96",-15.7017649014054
"97",-22.5986419979413
"98",-13.6182893219347
"99",1.03557632208856
"100",11.5267368548433
"101",13.3697273731453
"102",8.5336603880447
"103",3.0512195236428
"104",5.66104877380392
"105",11.300081351659
"106",27.1253187958292
"107",47.6996941889938
"108",76.8482313862028
"109",99.8652165022402
"110",132.043980112302
"111",168.898659983236
"112",206.968867524858
"113",238.487279942806
"114",251.386885627347
"115",239.633525802973
"116",200.085625965371
"117",136.93829309268
"118",71.9848719613203
"119",18.164881184279
"120",-13.9135953282789
"121",-22.559030308862
"122",-13.7496338555327
"123",1.06320925233748
"124",11.6977347383462
"125",13.5658301851461
"126",8.65863823285281
"127",3.09589206542908
"128",2.73469662076875
